,index,name of standard cell,number of fanout
260,8220,sky130_fd_sc_hd__dfxtp_2 U8028,3
261,8221,sky130_fd_sc_hd__dfxtp_2 U8029,3
262,8223,sky130_fd_sc_hd__dfxtp_2 U8030,3
263,8224,sky130_fd_sc_hd__dfxtp_2 U8031,4
264,8225,sky130_fd_sc_hd__dfxtp_2 U8032,4
265,8226,sky130_fd_sc_hd__dfxtp_2 U8033,4
266,8227,sky130_fd_sc_hd__dfxtp_2 U8034,4
267,8228,sky130_fd_sc_hd__dfxtp_2 U8035,4
268,8229,sky130_fd_sc_hd__dfxtp_2 U8036,3
269,8230,sky130_fd_sc_hd__dfxtp_2 U8037,3
270,8231,sky130_fd_sc_hd__dfxtp_2 U8038,3
271,8232,sky130_fd_sc_hd__dfxtp_2 U8039,3
272,8234,sky130_fd_sc_hd__dfxtp_2 U8040,3
273,8235,sky130_fd_sc_hd__dfxtp_2 U8041,3
274,8236,sky130_fd_sc_hd__dfxtp_2 U8042,3
275,8237,sky130_fd_sc_hd__dfxtp_2 U8043,3
276,8238,sky130_fd_sc_hd__dfxtp_2 U8044,3
277,8239,sky130_fd_sc_hd__dfxtp_2 U8045,3
278,8240,sky130_fd_sc_hd__dfxtp_2 U8046,3
279,8241,sky130_fd_sc_hd__dfxtp_2 U8047,3
280,8242,sky130_fd_sc_hd__dfxtp_2 U8048,3
281,8243,sky130_fd_sc_hd__dfxtp_2 U8049,3
282,8245,sky130_fd_sc_hd__dfxtp_2 U8050,3
283,8246,sky130_fd_sc_hd__dfxtp_2 U8051,3
284,8247,sky130_fd_sc_hd__dfxtp_2 U8052,3
285,8248,sky130_fd_sc_hd__dfxtp_2 U8053,3
286,8249,sky130_fd_sc_hd__dfxtp_2 U8054,3
287,8250,sky130_fd_sc_hd__dfxtp_2 U8055,3
288,8251,sky130_fd_sc_hd__dfxtp_2 U8056,3
289,8252,sky130_fd_sc_hd__dfxtp_2 U8057,3
290,8253,sky130_fd_sc_hd__dfxtp_2 U8058,3
291,8254,sky130_fd_sc_hd__dfxtp_2 U8059,3
292,8256,sky130_fd_sc_hd__dfxtp_2 U8060,3
293,8257,sky130_fd_sc_hd__dfxtp_2 U8061,3
294,8258,sky130_fd_sc_hd__dfxtp_2 U8062,3
295,8259,sky130_fd_sc_hd__dfxtp_2 U8063,4
296,8260,sky130_fd_sc_hd__dfxtp_2 U8064,4
297,8261,sky130_fd_sc_hd__dfxtp_2 U8065,4
298,8262,sky130_fd_sc_hd__dfxtp_2 U8066,4
299,8263,sky130_fd_sc_hd__dfxtp_2 U8067,4
300,8264,sky130_fd_sc_hd__dfxtp_2 U8068,3
301,8265,sky130_fd_sc_hd__dfxtp_2 U8069,3
302,8267,sky130_fd_sc_hd__dfxtp_2 U8070,3
303,8268,sky130_fd_sc_hd__dfxtp_2 U8071,3
304,8269,sky130_fd_sc_hd__dfxtp_2 U8072,3
305,8270,sky130_fd_sc_hd__dfxtp_2 U8073,3
306,8271,sky130_fd_sc_hd__dfxtp_2 U8074,3
307,8272,sky130_fd_sc_hd__dfxtp_2 U8075,3
308,8273,sky130_fd_sc_hd__dfxtp_2 U8076,3
309,8274,sky130_fd_sc_hd__dfxtp_2 U8077,3
310,8275,sky130_fd_sc_hd__dfxtp_2 U8078,3
311,8276,sky130_fd_sc_hd__dfxtp_2 U8079,3
312,8278,sky130_fd_sc_hd__dfxtp_2 U8080,3
313,8279,sky130_fd_sc_hd__dfxtp_2 U8081,3
314,8280,sky130_fd_sc_hd__dfxtp_2 U8082,3
315,8281,sky130_fd_sc_hd__dfxtp_2 U8083,3
316,8282,sky130_fd_sc_hd__dfxtp_2 U8084,3
317,8283,sky130_fd_sc_hd__dfxtp_2 U8085,3
318,8284,sky130_fd_sc_hd__dfxtp_2 U8086,3
319,8285,sky130_fd_sc_hd__dfxtp_2 U8087,3
320,8286,sky130_fd_sc_hd__dfxtp_2 U8088,3
321,8287,sky130_fd_sc_hd__dfxtp_2 U8089,3
322,8289,sky130_fd_sc_hd__dfxtp_2 U8090,3
323,8290,sky130_fd_sc_hd__dfxtp_2 U8091,3
324,8291,sky130_fd_sc_hd__dfxtp_2 U8092,3
325,8292,sky130_fd_sc_hd__dfxtp_2 U8093,3
326,8293,sky130_fd_sc_hd__dfxtp_2 U8094,3
327,8294,sky130_fd_sc_hd__dfxtp_2 U8095,4
328,8295,sky130_fd_sc_hd__dfxtp_2 U8096,4
329,8296,sky130_fd_sc_hd__dfxtp_2 U8097,4
330,8297,sky130_fd_sc_hd__dfxtp_2 U8098,4
331,8298,sky130_fd_sc_hd__dfxtp_2 U8099,4
332,8301,sky130_fd_sc_hd__dfxtp_2 U8100,3
333,8302,sky130_fd_sc_hd__dfxtp_2 U8101,3
334,8303,sky130_fd_sc_hd__dfxtp_2 U8102,3
335,8304,sky130_fd_sc_hd__dfxtp_2 U8103,3
336,8305,sky130_fd_sc_hd__dfxtp_2 U8104,3
337,8306,sky130_fd_sc_hd__dfxtp_2 U8105,3
338,8307,sky130_fd_sc_hd__dfxtp_2 U8106,3
339,8308,sky130_fd_sc_hd__dfxtp_2 U8107,3
340,8309,sky130_fd_sc_hd__dfxtp_2 U8108,3
341,8310,sky130_fd_sc_hd__dfxtp_2 U8109,3
342,8312,sky130_fd_sc_hd__dfxtp_2 U8110,3
343,8313,sky130_fd_sc_hd__dfxtp_2 U8111,3
344,8314,sky130_fd_sc_hd__dfxtp_2 U8112,3
345,8315,sky130_fd_sc_hd__dfxtp_2 U8113,3
